matchid,team,match_location,final_points_i,outcome,carries_i,metres_made_i,defenders_beaten_i,clean_breaks_i,offloads_i,passes_i,turnovers_conceded_i,turnovers_won_i,kicks_from_hand_i,kick_metres_i,scrums_won_i,rucks_won_i,lineout_throws_lost_i,lineout_throws_won_i,tackles_i,missed_tackles_i,penalties_conceded_i,scrum_pens_conceded_i,lineout_pens_conceded_i,general_play_pens_conceded_i,free_kicks_conceded_i,ruck_maul_tackle_pen_con_i,red_cards_i,yellow_cards_i,final_points_r,carries_r,metres_made_r,defenders_beaten_r,clean_breaks_r,offloads_r,passes_r,turnovers_conceded_r,turnovers_won_r,kicks_from_hand_r,kick_metres_r,scrums_won_r,rucks_won_r,lineout_throws_lost_r,lineout_throws_won_r,tackles_r,missed_tackles_r,penalties_conceded_r,scrum_pens_conceded_r,lineout_pens_conceded_r,general_play_pens_conceded_r,free_kicks_conceded_r,ruck_maul_tackle_pen_con_r,red_cards_r,yellow_cards_r
114,T11,away,28,loss,111,421,18,2,4,164,14,7,20,695,7,6,3,8,134,14,9,1,1,1,0,0,0,1,-4,2,83,4,-3,-9,38,1,-2,-1,-63,-2,4,-2,2,2,-4,3,-1,1,0,-1,-1,0,1
115,T13,home,29,win,97,493,28,10,24,114,17,9,19,933,9,6,2,8,84,8,12,1,0,4,1,2,0,2,16,21,228,20,3,11,-18,2,2,-2,119,-2,0,1,-2,-1,-20,2,0,-1,2,0,2,0,2
116,T6,home,23,loss,117,309,9,2,4,146,11,6,40,1190,4,6,5,14,120,11,12,3,0,2,1,4,0,1,-4,15,-84,-2,-3,-2,6,-3,0,1,125,1,2,4,2,-29,2,0,0,0,-1,0,0,0,0
117,T7,home,26,win,123,347,18,3,5,152,13,4,17,626,7,5,3,12,152,22,9,2,0,2,1,4,0,0,19,0,71,-4,0,-4,12,1,-1,-6,135,-2,3,2,3,20,4,-2,1,0,-1,1,-2,0,-1
118,T2,home,28,win,117,357,18,3,4,127,16,3,24,769,5,5,2,14,86,15,13,4,0,4,0,2,0,1,1,24,-52,3,-2,-5,16,0,-7,-1,99,-3,0,1,2,-56,-3,0,1,0,1,0,-1,0,1
119,T9,home,42,win,134,421,25,9,8,147,17,10,29,609,8,8,1,9,162,24,6,3,0,1,1,0,0,1,28,8,80,1,6,-1,-20,-3,2,5,2,0,1,1,-5,-2,-1,-1,0,0,-1,0,-2,0,0
120,T6,away,29,loss,148,422,20,5,9,189,12,11,13,573,4,8,0,14,120,9,18,6,0,3,1,2,0,0,-2,55,128,11,0,5,102,3,4,-2,-124,-3,0,0,0,-55,-11,4,5,0,1,1,1,-1,-1
121,T3,away,29,win,115,386,27,7,15,150,20,3,28,980,7,6,3,12,112,20,6,1,0,1,1,0,0,1,22,20,132,7,4,10,12,10,-3,-2,-272,-4,1,3,2,-20,-7,-4,1,0,1,1,0,0,0
122,T14,home,20,win,140,374,17,3,7,107,12,9,31,717,9,6,4,13,75,17,9,0,0,1,0,5,0,0,2,68,113,0,1,5,27,-3,3,10,-181,3,-2,1,5,-103,0,-6,-2,0,-4,-1,1,0,-1
123,T11,away,29,loss,165,298,23,5,8,173,14,7,25,719,11,8,0,11,121,11,9,0,0,1,0,2,0,1,-6,73,-7,12,-1,2,72,1,4,6,130,6,2,-4,0,-93,-12,1,-2,0,-1,0,0,0,0
124,T15,away,15,loss,129,310,13,5,10,156,13,6,14,360,6,7,0,7,211,17,12,0,0,3,0,3,0,0,-12,-31,-44,-4,0,0,-55,1,-3,-7,-189,1,2,-1,-3,62,4,6,-1,-1,1,0,2,0,-1
125,T9,away,21,loss,130,377,25,9,6,186,12,4,16,579,3,4,1,14,182,31,6,0,0,1,0,1,0,0,-21,-27,-110,-6,0,-17,-24,4,-5,-10,-66,1,1,1,7,35,6,-1,-1,0,1,-1,1,0,0
