matchid,team,match_location,final_points_i,outcome,carries_i,metres_made_i,defenders_beaten_i,clean_breaks_i,offloads_i,passes_i,turnovers_conceded_i,turnovers_won_i,kicks_from_hand_i,kick_metres_i,scrums_won_i,rucks_won_i,lineout_throws_lost_i,lineout_throws_won_i,tackles_i,missed_tackles_i,penalties_conceded_i,scrum_pens_conceded_i,lineout_pens_conceded_i,general_play_pens_conceded_i,free_kicks_conceded_i,ruck_maul_tackle_pen_con_i,red_cards_i,yellow_cards_i,final_points_r,carries_r,metres_made_r,defenders_beaten_r,clean_breaks_r,offloads_r,passes_r,turnovers_conceded_r,turnovers_won_r,kicks_from_hand_r,kick_metres_r,scrums_won_r,rucks_won_r,lineout_throws_lost_r,lineout_throws_won_r,tackles_r,missed_tackles_r,penalties_conceded_r,scrum_pens_conceded_r,lineout_pens_conceded_r,general_play_pens_conceded_r,free_kicks_conceded_r,ruck_maul_tackle_pen_con_r,red_cards_r,yellow_cards_r
276154,Vodacom Bulls,away,19,loss,120,286,16,2,10,139,8,8,20,634,9,6,4,6,173,20,16,2,0,4,1,4,0,0,-7,-30,-188,-4,-3,-5,-28,-6,3,7,21,3,1,0,-5,5,4,7,-1,0,3,-1,4,0,-1
276155,Glasgow Warriors,home,20,win,101,246,22,7,6,129,11,4,23,819,13,7,2,14,117,11,14,3,2,6,2,5,0,0,11,6,-8,11,6,1,25,-2,-1,5,146,8,5,-4,3,-16,-11,-2,-2,-1,3,-2,3,0,-2
276155,DHL Stormers,away,9,loss,95,254,11,1,5,104,13,5,18,673,5,2,6,11,133,22,16,5,3,3,4,2,0,2,-11,-6,8,-11,-6,-1,-25,2,1,-5,-146,-8,-5,4,-3,16,11,2,2,1,-3,2,-3,0,2
276156,Hollywoodbets Sharks,away,5,loss,112,442,13,2,7,141,18,3,27,949,7,6,2,7,143,9,13,2,1,5,2,1,0,1,-14,11,126,4,-1,5,43,5,-2,-2,-203,-3,0,0,-6,16,-4,6,1,1,3,2,-1,0,1
276156,Ospreys,home,19,win,101,316,9,3,2,98,13,5,29,1152,10,6,2,13,127,13,7,1,0,2,0,2,0,0,14,-11,-126,-4,1,-5,-43,-5,2,2,203,3,0,0,6,-16,4,-6,-1,-1,-3,-2,1,0,-1
276157,Zebre Parma,home,29,loss,70,265,9,4,5,94,5,6,22,854,4,2,1,7,140,24,17,6,1,2,1,2,0,0,-25,-61,-269,-15,-3,-7,-65,-4,2,2,-3,-2,-6,-1,-10,61,15,11,6,1,0,1,1,0,0
276157,Vodacom Bulls,away,54,win,131,534,24,7,12,159,9,4,20,857,6,8,2,17,79,9,6,0,0,2,0,1,0,0,25,61,269,15,3,7,65,4,-2,-2,3,2,6,1,10,-61,-15,-11,-6,-1,0,-1,-1,0,0
276158,Edinburgh Rugby,away,27,loss,100,446,23,5,9,126,14,8,27,1022,7,6,1,12,124,11,12,3,1,3,1,3,0,1,-9,-19,-56,12,-1,-2,-34,-3,-1,5,114,0,4,-2,1,19,-12,3,-1,0,1,1,3,0,1
276158,Leinster Rugby,home,36,win,119,502,11,6,11,160,17,9,22,908,7,2,3,11,105,23,9,4,1,2,0,0,0,0,9,19,56,-12,1,2,34,3,1,-5,-114,0,-4,2,-1,-19,12,-3,1,0,-1,-1,-3,0,-1
276159,Scarlets,home,31,win,85,201,15,3,3,119,9,3,26,876,4,5,0,17,120,16,13,5,0,0,0,2,0,2,6,-17,-160,-1,-3,-3,23,-2,-1,1,147,-3,-1,-4,8,9,1,4,5,-1,-5,0,1,0,2
276159,Cardiff Rugby,away,25,loss,102,361,16,6,6,96,11,4,25,729,7,6,4,9,111,15,9,0,1,5,0,1,0,0,-6,17,160,1,3,3,-23,2,1,-1,-147,3,1,4,-8,-9,-1,-4,-5,1,5,0,-1,0,-2
276160,Dragons RFC,away,14,loss,85,164,11,2,2,117,13,8,23,773,4,6,2,16,137,21,5,0,1,1,0,1,0,0,-31,-32,-461,-10,-8,-4,-28,0,2,-3,28,-4,0,1,6,32,10,-5,0,1,-3,0,-2,0,0
276160,Munster Rugby,home,45,win,117,625,21,10,6,145,13,6,26,745,8,6,1,10,105,11,10,0,0,4,0,3,0,0,31,32,461,10,8,4,28,0,-2,3,-28,4,0,-1,-6,-32,-10,5,0,-1,3,0,2,0,0
276161,Connacht Rugby,home,22,win,172,441,31,7,10,218,9,4,25,1116,5,7,2,15,108,15,9,2,0,0,1,4,0,0,2,75,39,16,4,-1,103,-3,-3,0,171,1,4,-2,10,-112,-16,-8,0,0,-6,1,-2,0,0
276161,Ulster Rugby,away,20,loss,97,402,15,3,11,115,12,7,25,945,4,3,4,5,220,31,17,2,0,6,0,6,0,0,-2,-75,-39,-16,-4,1,-103,3,3,0,-171,-1,-4,2,-10,112,16,8,0,0,6,-1,2,0,0
276162,Emirates Lions,away,10,loss,156,365,20,2,6,194,16,6,32,1344,9,10,1,14,115,11,10,0,0,2,0,0,0,0,-5,46,-5,9,-3,-2,48,7,-6,0,10,3,2,0,1,-87,-9,-2,-2,-1,0,0,-2,0,0
276162,Benetton Rugby,home,15,win,110,370,11,5,8,146,9,12,32,1334,6,8,1,13,202,20,12,2,1,2,0,2,0,0,5,-46,5,-9,3,2,-48,-7,6,0,-10,-3,-2,0,-1,87,9,2,2,1,0,0,2,0,0
276163,Zebre Parma,home,12,win,115,196,13,2,4,95,12,7,20,774,8,5,2,17,144,13,4,1,0,0,0,0,0,0,2,2,-170,0,-2,-1,-74,-4,-1,1,204,6,0,2,3,-2,0,-11,-2,0,-7,0,-4,-1,-1
276163,Hollywoodbets Sharks,away,10,loss,113,366,13,4,5,169,16,8,19,570,2,5,0,14,146,13,15,3,0,7,0,4,1,1,-2,-2,170,0,2,1,74,4,1,-1,-204,-6,0,-2,-3,2,0,11,2,0,7,0,4,1,1
276164,Cardiff Rugby,home,12,loss,125,539,23,8,10,212,21,8,24,835,3,4,3,10,119,22,9,3,0,2,0,1,0,0,-6,27,151,1,4,5,101,11,-2,-4,-243,-6,-6,-1,-5,-19,-1,-1,3,-1,-1,-1,0,0,-1
276164,Vodacom Bulls,away,18,win,98,388,22,4,5,111,10,10,28,1078,9,10,4,15,138,23,10,0,1,3,1,1,0,1,6,-27,-151,-1,-4,-5,-101,-11,2,4,243,6,6,1,5,19,1,1,-3,1,1,1,0,0,1
276165,Ulster Rugby,home,21,win,116,340,19,7,8,155,12,7,25,699,7,6,1,8,179,14,14,4,1,4,1,1,0,0,7,-13,70,5,6,3,-3,-3,-1,11,145,-4,-3,-3,-2,51,-5,1,2,1,0,1,-2,0,-1
276165,Munster Rugby,away,14,loss,129,270,14,1,5,158,15,8,14,554,11,9,4,10,128,19,13,2,0,4,0,3,0,1,-7,13,-70,-5,-6,-3,3,3,1,-11,-145,4,3,3,2,-51,5,-1,-2,-1,0,-1,2,0,1
276166,Benetton Rugby,home,20,win,107,177,13,2,5,135,5,6,35,1035,8,6,3,13,100,16,11,1,0,3,0,1,0,0,3,14,-89,-3,-3,-1,14,-13,1,8,91,6,5,-1,1,-49,3,2,-1,-1,0,-1,0,0,0
276166,DHL Stormers,away,17,loss,93,266,16,5,6,121,18,5,27,944,2,1,4,12,149,13,9,2,1,3,1,1,0,0,-3,-14,89,3,3,1,-14,13,-1,-8,-91,-6,-5,1,-1,49,-3,-2,1,1,0,1,0,0,0
276167,Glasgow Warriors,away,31,win,95,215,6,1,5,120,14,8,25,977,5,4,1,18,130,16,11,2,1,2,0,3,0,1,8,-6,-102,-10,-2,1,-25,2,3,-3,26,1,-3,1,7,3,10,-1,-1,1,0,-1,1,0,0
276167,Ospreys,home,23,loss,101,317,16,3,4,145,12,5,28,951,4,7,0,11,127,6,12,3,0,2,1,2,0,1,-8,6,102,10,2,-1,25,-2,-3,3,-26,-1,3,-1,-7,-3,-10,1,1,-1,0,1,-1,0,0
276168,Scarlets,home,23,loss,114,368,25,4,14,150,15,5,24,790,7,6,1,12,144,20,9,3,1,2,2,1,0,0,-1,1,60,5,0,12,42,1,-2,0,15,2,0,-2,4,27,-5,-1,1,1,-2,1,-2,0,0
276168,Emirates Lions,away,24,win,113,308,20,4,2,108,14,7,24,775,5,6,3,8,117,25,10,2,0,4,1,3,0,0,1,-1,-60,-5,0,-12,-42,-1,2,0,-15,-2,0,2,-4,-27,5,1,-1,-1,2,-1,2,0,0
276169,Edinburgh Rugby,home,25,win,120,464,25,5,11,146,11,7,38,1248,6,3,1,15,180,15,9,0,1,2,1,1,0,1,3,-41,78,10,2,4,-57,-2,1,3,-35,3,-2,0,7,66,-10,1,-1,1,0,1,0,0,1
276169,Connacht Rugby,away,22,loss,161,386,15,3,7,203,13,6,35,1283,3,5,1,8,114,25,8,1,0,2,0,1,0,0,-3,41,-78,-10,-2,-4,57,2,-1,-3,35,-3,2,0,-7,-66,10,-1,1,-1,0,-1,0,0,-1
276170,Leinster Rugby,away,33,win,80,301,17,6,10,98,12,5,25,1055,9,3,2,13,97,10,11,2,0,3,1,3,0,0,23,-8,142,7,5,8,2,4,-2,-4,90,3,-3,1,-2,13,-7,-6,-6,0,-1,-1,1,-1,-1
276170,Dragons RFC,home,10,loss,88,159,10,1,2,96,8,7,29,965,6,6,1,15,84,17,17,8,0,4,2,2,1,1,-23,8,-142,-7,-5,-8,-2,-4,2,4,-90,-3,3,-1,2,-13,7,6,6,0,1,1,-1,1,1
276171,Vodacom Bulls,away,23,loss,71,218,17,3,4,70,11,3,35,1005,3,4,1,8,120,19,13,0,1,3,0,2,1,2,-8,-45,-131,-2,-3,-8,-74,4,-1,1,-174,-1,-2,1,-2,41,2,-2,-2,0,0,-2,-3,1,1
276171,Edinburgh Rugby,home,31,win,116,349,19,6,12,144,7,4,34,1179,4,6,0,10,79,17,15,2,1,3,2,5,0,1,8,45,131,2,3,8,74,-4,1,-1,174,1,2,-1,2,-41,-2,2,2,0,0,2,3,-1,-1
276172,Emirates Lions,away,17,loss,94,236,10,3,7,92,15,6,33,998,5,4,4,13,121,13,9,3,2,1,2,2,0,0,-7,-8,-10,-3,0,0,-7,3,-1,-1,66,-4,-1,0,6,5,3,0,2,1,-1,0,2,0,0
276172,Ulster Rugby,home,24,win,102,246,13,3,7,99,12,7,34,932,9,5,4,7,116,10,9,1,1,2,2,0,0,0,7,8,10,3,0,0,7,-3,1,1,-66,4,1,0,-6,-5,-3,0,-2,-1,1,0,-2,0,0
276173,Cardiff Rugby,away,22,draw,173,543,32,5,17,222,12,5,24,981,5,6,3,9,142,15,13,3,2,2,1,1,0,0,0,60,208,17,3,8,118,3,-2,-8,-167,0,2,1,-4,-34,-17,5,2,2,0,1,-1,0,-1
276173,Zebre Parma,home,22,draw,113,335,15,2,9,104,9,7,32,1148,5,4,2,13,176,32,8,1,0,2,0,2,0,1,0,-60,-208,-17,-3,-8,-118,-3,2,8,167,0,-2,-1,4,34,17,-5,-2,-2,0,-1,1,0,1
276174,Hollywoodbets Sharks,home,12,loss,139,513,29,5,14,190,17,5,31,1017,4,7,4,12,83,8,13,2,0,3,0,1,0,0,-1,59,360,21,4,9,90,4,-4,-1,-218,-4,3,2,0,-55,-21,0,2,0,-4,0,-2,0,-1
276174,Connacht Rugby,away,13,win,80,153,8,1,5,100,13,9,32,1235,8,4,2,12,138,29,13,0,0,7,0,3,0,1,1,-59,-360,-21,-4,-9,-90,-4,4,1,218,4,-3,-2,0,55,21,0,-2,0,4,0,2,0,1
276175,Ospreys,away,5,loss,88,247,13,4,6,101,10,9,31,1011,6,4,3,11,120,25,14,3,1,3,0,3,1,1,-15,-25,-228,-12,-3,0,-31,-7,2,0,-24,-1,0,1,0,14,12,6,0,0,3,-2,3,1,1
276175,Dragons RFC,home,20,win,113,475,25,7,6,132,17,7,31,1035,7,4,2,11,106,13,8,3,1,0,2,0,0,0,15,25,228,12,3,0,31,7,-2,0,24,1,0,-1,0,-14,-12,-6,0,0,-3,2,-3,-1,-1
276176,Munster Rugby,home,10,win,109,217,16,2,8,132,18,7,26,1098,7,6,2,13,93,22,8,4,0,3,0,0,0,0,7,22,-108,-6,-1,-1,28,4,-3,-6,121,-3,3,-2,6,-48,6,-1,3,-2,1,-1,-1,0,-1
276176,DHL Stormers,away,3,loss,87,325,22,3,9,104,14,10,32,977,10,3,4,7,141,16,9,1,2,2,1,1,0,1,-7,-22,108,6,1,1,-28,-4,3,6,-121,3,-3,2,-6,48,-6,1,-3,2,-1,1,1,0,1
276177,Scarlets,away,5,loss,138,340,14,1,8,166,12,8,16,750,5,10,4,10,145,27,14,2,1,4,1,4,0,2,-49,-19,-293,-13,-7,-6,-62,-1,-1,-6,-200,0,2,4,-4,-48,13,4,1,0,2,1,1,0,2
276177,Leinster Rugby,home,54,win,157,633,27,8,14,228,13,9,22,950,5,8,0,14,193,14,10,1,1,2,0,3,0,0,49,19,293,13,7,6,62,1,1,6,200,0,-2,-4,4,48,-13,-4,-1,0,-2,-1,-1,0,-2
276178,Benetton Rugby,away,12,loss,144,459,12,2,6,184,21,9,27,870,4,4,3,13,93,31,6,2,0,3,1,1,0,0,-14,41,1,-19,-7,0,48,9,-1,-5,-146,-4,-2,2,-1,-58,19,-7,1,0,2,1,-2,0,-2
276178,Glasgow Warriors,home,26,win,103,458,31,9,6,136,12,10,32,1016,8,6,1,14,151,12,13,1,0,1,0,3,0,2,14,-41,-1,19,7,0,-48,-9,1,5,146,4,2,-2,1,58,-19,7,-1,0,-2,-1,2,0,2
276179,Cardiff Rugby,home,31,win,92,237,20,4,4,110,14,9,36,1205,8,2,0,8,122,15,9,4,1,1,0,1,0,0,7,-23,-214,5,1,-9,-37,-4,4,11,333,1,-2,-1,-5,14,-5,1,2,1,-1,-1,0,0,-1
276179,DHL Stormers,away,24,loss,115,451,15,3,13,147,18,5,25,872,7,4,1,13,108,20,8,2,0,2,1,1,0,1,-7,23,214,-5,-1,9,37,4,-4,-11,-333,-1,2,1,5,-14,5,-1,-2,-1,1,1,0,0,1
276180,Edinburgh Rugby,home,22,loss,113,269,23,5,8,155,14,9,27,918,8,2,1,12,150,6,10,0,0,3,0,4,0,0,-2,-3,-69,17,2,4,12,2,3,5,203,5,-4,-1,-1,37,-17,-5,-5,-1,1,-2,4,-1,-1
276180,Benetton Rugby,away,24,win,116,338,6,3,4,143,12,6,22,715,3,6,2,13,113,23,15,5,1,2,2,0,1,1,2,3,69,-17,-2,-4,-12,-2,-3,-5,-203,-5,4,1,1,-37,17,5,5,1,-1,2,-4,1,1
276181,Zebre Parma,away,19,loss,52,149,17,4,5,81,7,0,17,732,3,3,2,16,116,32,10,2,0,3,1,3,0,0,-42,-60,-280,-15,-6,-2,-78,1,-6,-9,-371,-2,-2,1,0,74,15,3,1,-1,2,1,3,0,0
276181,Emirates Lions,home,61,win,112,429,32,10,7,159,6,6,26,1103,5,5,1,16,42,17,7,1,1,1,0,0,0,0,42,60,280,15,6,2,78,-1,6,9,371,2,2,-1,0,-74,-15,-3,-1,1,-2,-1,-3,0,0
276182,Ospreys,home,31,win,110,387,27,3,5,112,10,8,27,996,6,4,1,15,111,9,10,3,0,1,0,0,0,0,22,16,213,18,2,-8,4,-2,2,7,253,0,-3,-3,8,-21,-18,-10,0,-2,-3,-1,-3,0,-1
276182,Scarlets,away,9,loss,94,174,9,1,13,108,12,6,20,743,6,7,4,7,132,27,20,3,2,4,1,3,0,1,-22,-16,-213,-18,-2,8,-4,2,-2,-7,-253,0,3,3,-8,21,18,10,0,2,3,1,3,0,1
276183,Vodacom Bulls,home,53,win,122,475,25,7,14,151,9,2,24,695,5,3,0,11,156,15,8,1,0,2,0,1,0,1,26,-13,150,10,1,4,-63,-1,-2,4,46,1,0,-3,0,27,-10,0,-1,0,0,-1,0,0,0
276183,Connacht Rugby,away,27,loss,135,325,15,6,10,214,10,4,20,649,4,3,3,11,129,25,8,2,0,2,1,1,0,1,-26,13,-150,-10,-1,-4,63,1,2,-4,-46,-1,0,3,0,-27,10,0,1,0,0,1,0,0,0
276184,Hollywoodbets Sharks,home,69,win,122,506,21,11,14,160,13,7,25,1008,9,4,0,19,69,13,4,0,0,2,0,1,0,0,55,55,207,8,5,9,76,-3,0,4,293,7,1,-3,12,-42,-8,-15,-7,-2,-2,0,-1,0,-1
276184,Dragons RFC,away,14,loss,67,299,13,6,5,84,16,7,21,715,2,3,3,7,111,21,19,7,2,4,0,2,0,1,-55,-55,-207,-8,-5,-9,-76,3,0,-4,-293,-7,-1,3,-12,42,8,15,7,2,2,0,1,0,1
276185,Munster Rugby,away,16,loss,134,349,19,5,4,184,12,5,24,959,5,2,1,14,147,18,15,4,0,1,2,6,0,1,-5,8,-2,1,-4,-3,38,-1,-1,5,134,-1,-2,0,1,-25,-1,2,3,0,0,2,4,0,1
