matchid,team,match_location,final_points_i,outcome,carries_i,metres_made_i,defenders_beaten_i,clean_breaks_i,offloads_i,passes_i,turnovers_conceded_i,turnovers_won_i,kicks_from_hand_i,kick_metres_i,scrums_won_i,rucks_won_i,lineout_throws_lost_i,lineout_throws_won_i,tackles_i,missed_tackles_i,penalties_conceded_i,scrum_pens_conceded_i,lineout_pens_conceded_i,general_play_pens_conceded_i,free_kicks_conceded_i,ruck_maul_tackle_pen_con_i,red_cards_i,yellow_cards_i,final_points_r,carries_r,metres_made_r,defenders_beaten_r,clean_breaks_r,offloads_r,passes_r,turnovers_conceded_r,turnovers_won_r,kicks_from_hand_r,kick_metres_r,scrums_won_r,rucks_won_r,lineout_throws_lost_r,lineout_throws_won_r,tackles_r,missed_tackles_r,penalties_conceded_r,scrum_pens_conceded_r,lineout_pens_conceded_r,general_play_pens_conceded_r,free_kicks_conceded_r,ruck_maul_tackle_pen_con_r,red_cards_r,yellow_cards_r
268193,Connacht Rugby,away,8,loss,71,274,8,4,9,111,10,2,11,473,7,7,3,6,157,29,15,4,0,4,0,1,0,0,-48,-64,-273,-21,-7,-3,-50,-2,-5,-8,-313,-2,4,3,-8,90,21,8,3,0,1,0,-1,0,-1
268193,Edinburgh Rugby,home,56,win,135,547,29,11,12,161,12,7,19,786,9,3,0,14,67,8,7,1,0,3,0,2,0,1,48,64,273,21,7,3,50,2,5,8,313,2,-4,-3,8,-90,-21,-8,-3,0,-1,0,1,0,1
268146,Cardiff Rugby,away,3,loss,41,113,10,0,0,40,12,9,24,839,14,6,1,9,89,19,13,3,0,4,1,3,0,0,-37,-58,-393,-9,-9,-15,-88,-7,3,4,49,9,2,-3,-7,39,9,8,1,0,2,0,3,0,0
268146,DHL Stormers,home,40,win,99,506,19,9,15,128,19,6,20,790,5,4,4,16,50,10,5,2,0,2,1,0,0,0,37,58,393,9,9,15,88,7,-3,-4,-49,-9,-2,3,7,-39,-9,-8,-1,0,-2,0,-3,0,0
268170,Dragons RFC,home,13,draw,116,333,15,1,5,148,17,2,47,1488,12,7,3,11,65,4,12,1,1,1,1,0,1,0,0,53,43,11,-2,-1,62,2,-2,-3,-172,7,2,-1,-7,-68,-11,0,-1,1,-2,0,0,1,0
268170,Benetton Rugby,away,13,draw,63,290,4,3,6,86,15,4,50,1660,5,5,4,18,133,15,12,2,0,3,1,0,0,0,0,-53,-43,-11,2,1,-62,-2,2,3,172,-7,-2,1,7,68,11,0,1,-1,2,0,0,-1,0
268211,Zebre Parma,away,12,loss,110,335,12,1,8,147,22,5,12,656,6,7,3,11,117,13,12,2,0,4,1,2,0,1,-28,14,107,-1,0,2,-8,12,-8,-16,-517,0,4,2,-5,-24,1,3,1,0,1,1,0,0,1
268211,Glasgow Warriors,home,40,win,96,228,13,1,6,155,10,13,28,1173,6,3,1,16,141,12,9,1,0,3,0,2,0,0,28,-14,-107,1,0,-2,8,-12,8,16,517,0,-4,-2,5,24,-1,-3,-1,0,-1,-1,0,0,-1
268181,Zebre Parma,away,14,loss,126,341,24,3,9,167,20,8,24,607,8,7,0,14,164,25,7,3,0,2,1,2,0,1,-28,-8,-80,-1,-6,1,20,3,-2,-5,-2,0,-1,-1,5,2,1,1,0,0,1,0,2,0,0
268181,Cardiff Rugby,home,42,win,134,421,25,9,8,147,17,10,29,609,8,8,1,9,162,24,6,3,0,1,1,0,0,1,28,8,80,1,6,-1,-20,-3,2,5,2,0,1,1,-5,-2,-1,-1,0,0,-1,0,-2,0,0
268215,Dragons RFC,home,19,loss,152,331,16,3,12,189,14,2,19,798,9,4,1,13,93,10,7,2,0,0,0,0,0,0,-19,77,4,6,-6,3,77,1,-4,-1,45,3,0,-2,1,-106,-6,-6,1,0,-5,0,-4,0,-1
268215,Scarlets,away,38,win,75,327,10,9,9,112,13,6,20,753,6,4,3,12,199,16,13,1,0,5,0,4,0,1,19,-77,-4,-6,6,-3,-77,-1,4,1,-45,-3,0,2,-1,106,6,6,-1,0,5,0,4,0,1
268143,Ospreys,home,19,win,77,140,8,1,5,93,6,10,25,830,9,10,1,7,233,18,12,0,0,3,0,4,0,1,6,-104,-292,-10,-2,-12,-126,-6,5,4,238,7,-2,0,-11,137,10,-1,-5,0,2,-1,1,0,1
268143,Ulster Rugby,away,13,loss,181,432,18,3,17,219,12,5,21,592,2,12,1,18,96,8,13,5,0,1,1,3,0,0,-6,104,292,10,2,12,126,6,-5,-4,-238,-7,2,0,11,-137,-10,1,5,0,-2,1,-1,0,-1
268189,Glasgow Warriors,away,10,loss,127,359,18,1,10,164,15,6,23,945,3,9,2,13,149,16,8,1,2,2,1,0,0,0,-25,3,-39,2,-4,-3,-8,5,-1,-8,-10,-7,5,2,-2,9,-2,-3,-1,2,-1,0,-2,0,0
268189,Scarlets,home,35,win,124,398,16,5,13,172,10,7,31,955,10,4,0,15,140,18,11,2,0,3,1,2,0,0,25,-3,39,-2,4,3,8,-5,1,8,10,7,-5,-2,2,-9,2,3,1,-2,1,0,2,0,0
268094,Glasgow Warriors,away,29,loss,165,298,23,5,8,173,14,7,25,719,11,8,0,11,121,11,9,0,0,1,0,2,0,1,-6,73,-7,12,-1,2,72,1,4,6,130,6,2,-4,0,-93,-12,1,-2,0,-1,0,0,0,0
268094,Ulster Rugby,home,35,win,92,305,11,6,6,101,13,3,19,589,5,6,4,11,214,23,8,2,0,2,0,2,0,1,6,-73,7,-12,1,-2,-72,-1,-4,-6,-130,-6,-2,4,0,93,12,-1,2,0,1,0,0,0,0
268172,Vodacom Bulls,home,21,win,109,348,20,3,11,142,19,10,20,838,7,7,2,19,56,7,13,6,0,2,0,0,0,0,8,56,138,13,2,8,95,1,2,-4,-76,0,-1,-1,9,-68,-13,-4,3,0,-2,0,-6,0,0
268172,Emirates Lions,away,13,loss,53,210,7,1,3,47,18,8,24,914,7,8,3,10,124,20,17,3,0,4,0,6,0,0,-8,-56,-138,-13,-2,-8,-95,-1,-2,4,76,0,1,1,-9,68,13,4,-3,0,2,0,6,0,0
268214,Ospreys,away,22,win,93,330,11,3,7,136,13,7,21,919,8,5,1,15,107,8,12,3,0,1,1,2,0,0,16,3,49,3,2,-6,8,0,-2,3,179,0,-3,-2,3,-7,-3,-2,-3,0,1,0,0,0,-1
